gene	conMean	treatMean	logFC	pValue	fdr
IGKV5-2	0.95390266	2.060984243	1.107081584	9.16E-30	1.78E-29
PLXNB1	5.593282676	4.338562145	-1.254720531	5.52E-73	2.80E-72
SMOC1	0.576295263	1.689631106	1.113335844	1.80E-10	2.41E-10
FAM153B	2.283256594	0.628534181	-1.654722413	3.16E-91	2.87E-90
CXCR1	2.511172812	0.376638365	-2.134534447	3.64E-121	2.05E-119
GSAP	4.587692169	3.451540313	-1.136151856	2.72E-80	1.74E-79
BMPER	2.619256093	0.635388376	-1.983867717	9.36E-117	3.53E-115
RP11-253E3.3	1.77463821	0.625171824	-1.149466386	2.83E-116	1.03E-114
SLC27A2	1.074106608	2.448722538	1.37461593	3.49E-68	1.56E-67
ABLIM3	4.258006099	2.117530976	-2.140475123	1.82E-118	7.91E-117
MSR1	5.271083116	3.983985307	-1.28709781	6.45E-46	1.72E-45
LGI3	2.723425364	0.751973573	-1.971451792	4.89E-58	1.69E-57
TPPP3	5.981651042	4.607588732	-1.37406231	1.74E-34	3.70E-34
AGR2	4.347011183	7.993536037	3.646524853	6.30E-99	7.81E-98
IGHV3-53	1.427140495	3.068291872	1.641151377	1.57E-44	4.07E-44
DOK3	4.442615879	3.012913496	-1.429702383	7.86E-84	5.55E-83
DNAJC19P9	0.549538711	1.623324558	1.073785847	3.68E-67	1.61E-66
RP11-82L18.2	3.238605897	1.686398657	-1.55220724	7.56E-74	3.94E-73
RP5-1061H20.4	0.426278221	1.590259647	1.163981425	2.79E-105	4.74E-104
CDC25C	0.310512617	1.529341119	1.218828502	6.24E-113	1.73E-111
KLHL6	3.017874776	1.814732679	-1.203142097	1.68E-76	9.54E-76
MAD2L1	1.343782476	3.369939235	2.026156759	8.68E-116	3.04E-114
CALR	8.107047717	9.260611033	1.153563316	6.97E-110	1.61E-108
PTPRM	5.728250217	3.841276149	-1.886974068	2.59E-121	1.48E-119
GAPDH	9.741446119	10.99936237	1.257916249	1.26E-83	8.88E-83
CTA-212A2.1	1.457872862	0.355321955	-1.102550908	1.53E-124	1.44E-122
BPIFB2	0.197681034	1.230977699	1.033296664	4.72E-32	9.57E-32
MT2A	9.141935696	7.090499502	-2.051436194	1.07E-71	5.25E-71
GUSBP11	3.770703632	2.317952257	-1.452751375	5.47E-70	2.57E-69
NAALADL1	3.445364195	2.222092359	-1.223271836	1.08E-100	1.45E-99
PPAT	1.278410522	2.638473421	1.360062899	1.11E-122	7.63E-121
HELLS	1.200039972	2.291712384	1.091672412	1.46E-79	9.09E-79
TMEM59L	1.06542657	2.33810301	1.27267644	2.28E-14	3.32E-14
ZP3	1.520058677	3.084673572	1.564614895	2.75E-75	1.50E-74
SCARF2	4.14171868	2.361870164	-1.779848517	2.46E-98	2.96E-97
TMEM9	5.253916922	6.506149435	1.252232513	1.53E-102	2.24E-101
SLC25A34	1.54313099	0.455363824	-1.087767166	1.57E-99	2.01E-98
CTD-2527I21.14	1.982781205	0.834669398	-1.148111807	1.13E-60	4.17E-60
MRPL35	3.296421119	4.369057949	1.07263683	1.91E-106	3.43E-105
CORO2B	2.222321163	0.80756645	-1.414754713	1.29E-116	4.83E-115
ENTPD3	1.148892256	2.339190915	1.190298659	3.62E-58	1.26E-57
RECK	3.379413771	1.792019872	-1.5873939	2.57E-124	2.29E-122
SPP1	3.111363385	7.59310738	4.481743995	1.01E-113	2.96E-112
IGHG3	6.344340337	8.842659588	2.498319252	2.41E-59	8.63E-59
SRSF11	6.769678136	5.761646471	-1.008031665	9.31E-69	4.22E-68
VEPH1	3.422206074	2.287833357	-1.134372717	2.73E-33	5.66E-33
FIGNL1	1.499511799	2.611883807	1.112372008	3.80E-89	3.22E-88
SPCS2P4	3.830172994	5.012269828	1.182096833	1.16E-100	1.54E-99
SRGAP2	4.657241281	3.586972141	-1.07026914	1.56E-95	1.66E-94
VSTM4	3.093580386	1.715505781	-1.378074605	6.68E-100	8.67E-99
TC2N	3.598476136	4.655731849	1.057255712	1.81E-62	7.00E-62
MACF1	7.416995522	5.717416566	-1.699578956	9.99E-115	3.14E-113
GOLPH3L	3.264831648	4.528673458	1.26384181	7.50E-107	1.39E-105
IGLV1-36	1.622548205	3.036851488	1.414303283	2.99E-26	5.45E-26
ARMCX1	3.720710726	2.558114079	-1.162596647	2.95E-97	3.38E-96
KRT16	0.252157058	1.863787601	1.611630543	3.29E-66	1.41E-65
HECW2	2.846529252	1.706175578	-1.140353674	1.94E-81	1.28E-80
ITLN1	2.096926518	0.719661006	-1.377265512	3.43E-50	9.97E-50
CCNE1	0.976243102	2.306619779	1.330376676	9.53E-87	7.38E-86
AC000089.3	0.602958581	1.722941247	1.119982666	1.97E-97	2.28E-96
DGKH	2.370016511	1.134447693	-1.235568817	2.91E-95	3.06E-94
OTX1	0.208663737	1.491136384	1.282472647	4.29E-120	2.18E-118
STT3A	5.521177186	6.532406457	1.011229271	1.32E-97	1.53E-96
AC239868.2	2.939850875	4.541729942	1.601879067	1.07E-28	2.05E-28
HJURP	0.915300377	2.370441501	1.455141124	5.88E-83	4.04E-82
SPON1	5.102607723	3.023266247	-2.079341475	3.28E-104	5.26E-103
LLNLR-470E3.1	2.182525184	1.004272213	-1.178252971	1.89E-75	1.04E-74
CH507-513H4.5	0.664833365	2.142999216	1.478165851	7.52E-78	4.45E-77
FOXF2	3.64726151	1.843941648	-1.803319862	1.27E-107	2.49E-106
PPARG	4.023976493	3.020538645	-1.003437848	3.79E-38	8.62E-38
FAM167B	3.591869438	2.341713505	-1.250155933	1.40E-68	6.33E-68
ADAM28	2.3780654	3.378333108	1.000267707	1.72E-42	4.26E-42
ROMO1	6.347313695	7.577897369	1.230583674	1.89E-102	2.75E-101
SOWAHB	0.621071977	1.94925279	1.328180813	1.43E-103	2.20E-102
RP11-73M18.8	3.899391754	2.843750769	-1.055640985	1.44E-80	9.27E-80
LBH	6.486339	5.387496457	-1.098842543	4.88E-67	2.13E-66
STYK1	0.596027941	1.957424018	1.361396077	1.09E-103	1.70E-102
MYBL2	1.065442352	3.730190323	2.664747972	4.32E-110	1.01E-108
PKP3	3.329355455	4.922291057	1.592935602	1.41E-106	2.56E-105
FCAR	2.461766546	0.48181893	-1.979947616	4.50E-102	6.47E-101
TUBB6	6.198010901	5.034057393	-1.163953508	4.70E-86	3.56E-85
PERP	4.07836742	5.677049789	1.598682368	1.33E-105	2.30E-104
GP9	1.367137464	0.081197595	-1.285939869	3.24E-124	2.83E-122
RP11-205M5.3	5.586740946	4.312681933	-1.274059013	2.89E-66	1.24E-65
MEOX2	3.036103746	1.349342372	-1.686761374	2.26E-97	2.61E-96
IGHV3-13	1.386876097	2.766508428	1.379632331	1.97E-30	3.89E-30
FRMD4A	4.307928062	2.761706379	-1.546221683	9.37E-123	6.56E-121
AMACR	2.109572821	3.754709854	1.645137033	2.92E-115	9.68E-114
CAV2	6.317032665	4.849742985	-1.467289681	1.56E-70	7.41E-70
LIMS2	6.52931671	3.118231652	-3.411085058	8.70E-133	1.23E-129
SAMD4A	3.662492468	2.45546013	-1.207032338	1.15E-58	4.04E-58
MS4A4A	4.792020054	3.786741424	-1.005278629	7.63E-41	1.83E-40
CRYAB	6.829097704	3.571293997	-3.257803707	3.91E-124	3.40E-122
S100P	4.663086086	6.71017091	2.047084824	8.04E-25	1.42E-24
HMCN1	3.859425653	2.442034313	-1.41739134	1.44E-80	9.27E-80
IGHG1	8.766214686	11.63880858	2.872593897	6.16E-66	2.61E-65
LIN7A	2.427228743	0.750923558	-1.676305185	1.10E-121	6.57E-120
PTGFRN	3.325814361	4.55115656	1.225342199	3.65E-80	2.33E-79
ADRA1B	1.743313862	0.739595569	-1.003718293	7.49E-61	2.78E-60
ZNF37BP	2.689798082	1.652156915	-1.037641167	2.40E-65	1.00E-64
EPN3	0.616225245	3.132257181	2.516031935	9.84E-122	5.94E-120
ATOH8	5.18190588	3.314689102	-1.867216778	5.04E-59	1.79E-58
NEIL1	4.613609664	3.211669647	-1.401940018	7.33E-68	3.24E-67
C16orf86	2.176072464	1.133137983	-1.042934481	5.96E-105	9.96E-104
HSPB6	6.238059661	2.644696423	-3.593363237	1.10E-128	2.49E-126
ALG8	3.877098472	4.955588429	1.078489957	3.03E-109	6.64E-108
IL18RAP	3.104208291	0.65262057	-2.451587721	1.12E-112	3.05E-111
ANKRD22	1.073519712	3.086665476	2.013145764	2.17E-88	1.79E-87
TPT1-AS1	4.046698591	2.91239992	-1.134298671	2.47E-80	1.59E-79
FHL2	3.560796228	5.056188731	1.495392503	3.56E-62	1.37E-61
MINOS1-NBL1	0.981233593	2.258256345	1.277022752	4.59E-95	4.78E-94
AC002398.12	2.045317258	0.659577815	-1.385739444	5.89E-80	3.72E-79
CCL15-CCL14	2.829926374	1.256382923	-1.57354345	1.77E-65	7.41E-65
CKS2	4.212288748	5.664293338	1.45200459	2.24E-74	1.19E-73
RN7SL1	7.053236289	9.81634787	2.76311158	2.43E-92	2.30E-91
DGKD	4.687917547	3.589399892	-1.098517655	2.37E-60	8.71E-60
CLDN15	3.186886635	2.014147587	-1.172739048	3.56E-76	2.01E-75
PYGM	1.700155454	0.498901024	-1.20125443	2.72E-116	9.93E-115
VIM	9.819804218	8.717775318	-1.1020289	2.19E-82	1.48E-81
RP11-357D18.1	2.075458166	0.585407517	-1.490050649	1.08E-90	9.62E-90
IGLV1-44	4.473079064	6.609445087	2.136366024	3.77E-46	1.01E-45
LRRFIP1	6.185196113	5.184927413	-1.000268701	1.02E-108	2.16E-107
KIF2C	0.940559837	2.832850937	1.8922911	6.70E-107	1.25E-105
PPP2R2C	0.149399954	1.202887106	1.053487152	1.10E-29	2.14E-29
AP003391.1	1.420420978	2.762497381	1.342076403	6.05E-21	9.96E-21
ADM5	1.721402583	0.709591561	-1.011811022	1.90E-83	1.32E-82
MSMB	1.660831407	3.482336702	1.821505295	6.81E-22	1.14E-21
CD93	5.509518115	3.485597073	-2.023921042	1.85E-121	1.08E-119
ZMPSTE24	3.738096816	4.742397715	1.0043009	1.14E-99	1.47E-98
DPY30	5.060642138	6.342888456	1.282246317	8.37E-121	4.53E-119
AGTPBP1	3.525127648	2.261067791	-1.264059857	2.54E-122	1.64E-120
MRPL11	4.581646253	5.621893546	1.040247293	1.26E-99	1.61E-98
NEDD9	6.171952127	4.650223923	-1.521728204	2.23E-81	1.47E-80
PIGY	1.638960985	2.928556268	1.289595283	4.43E-30	8.66E-30
RECQL4	1.811218594	3.300857435	1.48963884	2.24E-77	1.31E-76
SUV39H2	1.362863613	2.446811412	1.083947799	2.14E-106	3.84E-105
GBA2	5.889999021	4.560342226	-1.329656795	7.21E-91	6.49E-90
TFAP2A	0.513835815	2.284182452	1.770346637	8.24E-103	1.23E-101
ADGRF1	1.697013775	3.421394802	1.724381027	1.26E-29	2.44E-29
PTPRF	4.79867785	6.105439956	1.306762106	6.66E-97	7.54E-96
GATA6-AS1	2.726625214	0.700193952	-2.026431262	1.34E-110	3.23E-109
GNLY	4.749895667	3.482828132	-1.267067535	6.46E-34	1.36E-33
GALNT15	2.391270646	0.88342164	-1.507849006	2.46E-65	1.02E-64
PER1	6.948648343	4.754693207	-2.193955136	1.42E-102	2.09E-101
LCN10	1.983210047	0.653113532	-1.330096515	1.26E-73	6.51E-73
RP11-40C6.2	2.353593768	9.429558959	7.075965191	6.90E-97	7.80E-96
LAMB3	4.413968305	6.280728277	1.866759973	4.09E-77	2.37E-76
EXOSC5	2.861969142	4.285734567	1.423765425	1.26E-110	3.04E-109
RP11-164J13.1	2.792003383	1.157437014	-1.634566369	5.60E-95	5.81E-94
HABP2	0.35944927	2.280453293	1.921004023	2.29E-81	1.51E-80
SPOCD1	3.18877951	1.826919523	-1.361859987	2.29E-58	7.98E-58
ADAMTSL3	2.634496474	0.810107145	-1.82438933	8.90E-124	7.33E-122
NBPF26	2.751472276	1.573673497	-1.177798778	1.90E-73	9.80E-73
BRICD5	3.22136017	1.78686737	-1.434492799	8.17E-66	3.45E-65
CDC42EP2	3.832382567	2.727012427	-1.105370141	3.55E-74	1.87E-73
P2RX1	3.014673744	1.101929812	-1.912743932	2.22E-117	8.79E-116
SDPR	5.877944136	3.268760459	-2.609183677	4.51E-117	1.73E-115
ALDH3B2	0.47069064	1.985385404	1.514694764	1.75E-88	1.45E-87
CYYR1	3.621194984	2.11750628	-1.503688705	1.33E-109	3.01E-108
AC138035.2	3.54341221	1.927903535	-1.615508675	1.22E-75	6.76E-75
TMEM54	4.692526338	6.09657158	1.404045242	2.83E-99	3.57E-98
LAD1	3.026376169	5.753604602	2.727228433	2.27E-115	7.68E-114
RASL12	4.556431501	2.299160863	-2.257270638	5.45E-126	6.99E-124
CA9	0.313907679	2.865249489	2.55134181	3.71E-101	5.09E-100
MRPL15	4.091490421	5.536422537	1.444932116	5.06E-109	1.09E-107
KIAA1522	3.977704822	5.240016112	1.26231129	2.68E-95	2.81E-94
SLCO3A1	4.469747516	3.456857537	-1.012889979	2.50E-79	1.55E-78
ACSL1	6.760321448	5.180348025	-1.579973424	2.38E-95	2.51E-94
COL4A5	2.919759156	1.736227408	-1.183531748	4.31E-64	1.74E-63
MOCS1	4.3169677	2.230996313	-2.085971387	3.31E-125	3.62E-123
FOXA1	2.453780729	4.551825935	2.098045206	8.39E-97	9.42E-96
RP11-228B15.4	2.717893649	1.048855024	-1.669038625	8.05E-89	6.74E-88
FHL5	3.137095279	0.902609455	-2.234485824	2.14E-128	4.74E-126
CXCR3	0.966425835	2.037687778	1.071261944	1.11E-61	4.21E-61
FXYD1	5.745206197	2.576701298	-3.168504899	1.12E-124	1.07E-122
ACACB	3.188972487	1.550880233	-1.638092254	8.49E-110	1.94E-108
TSFM	3.659900178	4.88216696	1.222266782	1.03E-113	3.01E-112
FAHD1	2.758804485	3.836431042	1.077626557	3.31E-101	4.55E-100
SCG5	0.809141016	2.849122285	2.039981269	1.21E-102	1.79E-101
CTB-134H23.3	2.132534509	0.669523812	-1.463010697	1.35E-64	5.54E-64
KCNK5	2.32625544	3.681167792	1.354912352	9.63E-65	3.96E-64
TMEM63C	0.321099657	1.515195465	1.194095808	5.88E-58	2.03E-57
MEFV	2.218524657	0.439311805	-1.779212851	1.35E-125	1.57E-123
CSF3	3.780521182	0.895786047	-2.884735134	6.74E-89	5.66E-88
PLA2G1B	3.768611885	2.101983593	-1.666628292	5.73E-37	1.28E-36
KLF2	5.848893904	3.336627181	-2.512266723	4.49E-112	1.19E-110
APBB3	4.577972542	2.953783008	-1.624189534	2.94E-81	1.93E-80
CCNA2	1.313189014	2.74986451	1.436675495	2.12E-83	1.48E-82
KIAA1462	4.425436765	2.550135464	-1.875301302	6.44E-114	1.90E-112
PCNA	4.643357357	6.014879303	1.371521947	2.38E-99	3.01E-98
UHRF1	0.824093376	2.762839814	1.938746439	6.72E-111	1.64E-109
IGKV3-11	6.704106759	9.244243685	2.540136926	2.52E-64	1.02E-63
FLNC	2.662452898	1.421796711	-1.240656187	1.13E-60	4.20E-60
IGHV3-66	1.474671936	2.857574318	1.382902383	4.15E-29	8.00E-29
MAOA	5.917986048	4.752647902	-1.165338146	7.31E-46	1.95E-45
TRIP13	1.011016494	2.941015244	1.92999875	3.76E-102	5.41E-101
ID4	4.409255172	2.502354673	-1.906900499	5.45E-97	6.18E-96
RP11-254I22.3	0.072342509	1.153563926	1.081221417	1.45E-93	1.43E-92
ZFP36L2	6.561417261	5.324668289	-1.236748972	2.46E-78	1.48E-77
OLFML1	3.587928025	2.049898774	-1.538029251	2.71E-96	2.97E-95
C10orf54	6.240521847	4.480209883	-1.760311964	2.05E-126	2.94E-124
FAM49A	3.461918879	2.11417406	-1.347744819	4.11E-103	6.20E-102
ICT1	3.852547986	4.956748321	1.104200335	1.06E-96	1.19E-95
SLC38A5	4.776517241	3.591233455	-1.185283786	2.75E-60	1.01E-59
CCDC39	1.660440243	0.58942977	-1.071010473	1.10E-88	9.18E-88
SMUG1	3.822834695	5.068533769	1.245699074	7.25E-115	2.31E-113
CHRM1	1.120775919	0.105354887	-1.015421033	5.76E-114	1.71E-112
AP000349.2	0.186666816	2.749348203	2.562681386	8.38E-118	3.40E-116
LINC01272	4.719342888	3.014760267	-1.704582621	3.07E-91	2.79E-90
SLC25A10	2.295148075	4.475617633	2.180469558	7.21E-127	1.13E-124
CTD-3214H19.16	3.732831231	1.591740445	-2.141090787	4.83E-73	2.46E-72
KIAA1456	1.766694911	0.594612467	-1.172082444	1.16E-109	2.63E-108
PLCB4	2.223945047	1.145595817	-1.07834923	1.89E-62	7.31E-62
HMGA2	0.119772735	1.15253641	1.032763674	4.50E-33	9.30E-33
DOCK6	5.781558612	3.976870202	-1.80468841	6.11E-101	8.27E-100
CASC9	0.053582019	1.232974932	1.179392913	1.44E-51	4.34E-51
FAS	4.527653013	3.358878727	-1.168774286	5.82E-66	2.47E-65
LINC-PINT	4.149026285	2.655058046	-1.493968239	3.76E-87	2.96E-86
SRP9	6.28692553	7.496724021	1.209798491	1.27E-119	6.21E-118
CELF2	4.441748199	3.289415562	-1.152332638	8.61E-87	6.67E-86
ITGA7	4.154503632	2.006311453	-2.14819218	3.03E-92	2.86E-91
COL6A1	7.372286981	6.033622899	-1.338664082	2.04E-58	7.11E-58
IGSF9	0.624200592	2.611631114	1.987430522	4.29E-113	1.21E-111
CDH3	1.889757633	4.85595156	2.966193927	9.05E-98	1.06E-96
AC007743.1	1.818923399	0.541090381	-1.277833017	4.63E-114	1.38E-112
DTYMK	3.393381613	4.630041222	1.236659608	1.42E-93	1.40E-92
FAM103A1	2.982823183	4.142781005	1.159957823	9.68E-116	3.38E-114
CTD-2510F5.4	0.311674348	1.34898637	1.037312022	7.64E-82	5.09E-81
FAM189A2	4.543293273	2.296243224	-2.247050049	1.52E-107	2.94E-106
PGC	6.643117042	4.915139165	-1.727977877	4.49E-17	6.89E-17
PPP3CC	3.999160506	2.916342525	-1.08281798	1.05E-120	5.61E-119
RHOD	3.06205714	4.384250339	1.322193199	1.19E-85	8.94E-85
RHPN2	2.033575997	3.391041976	1.357465978	9.96E-83	6.81E-82
GPR39	1.866483416	3.170280265	1.303796849	6.72E-79	4.12E-78
PLS1	2.159950147	4.096525787	1.93657564	2.68E-108	5.51E-107
IGKV1D-16	1.329784292	2.796422636	1.466638344	7.68E-36	1.67E-35
MAPK15	3.815693172	2.686831507	-1.128861665	8.71E-24	1.51E-23
CCDC78	3.022341079	1.976912053	-1.045429027	2.12E-21	3.51E-21
NDST2	4.344407991	3.238859793	-1.105548197	4.21E-90	3.68E-89
E2F8	0.430479996	1.578412939	1.147932942	4.69E-103	7.04E-102
PI16	2.582122188	0.500183951	-2.081938237	5.79E-102	8.30E-101
RP6-65G23.3	0.552845155	2.454363401	1.901518246	4.64E-127	7.48E-125
SNAI1	3.304081629	1.935949629	-1.368132	7.78E-68	3.44E-67
PAK6	0.91268736	1.95361625	1.040928891	3.93E-94	3.95E-93
TMEM132A	3.038634208	4.155649568	1.117015361	5.28E-52	1.60E-51
KIF11	0.737843783	2.393415217	1.655571434	4.77E-118	2.00E-116
MASP1	2.105564937	0.671981585	-1.433583352	1.24E-100	1.65E-99
COL11A1	0.402784698	2.847792763	2.445008065	1.66E-90	1.46E-89
ESYT3	3.309699171	2.066570135	-1.243129036	2.76E-60	1.01E-59
TMPRSS11E	0.051892402	1.707070276	1.655177874	7.71E-101	1.04E-99
DHFRP1	1.021059918	2.516707228	1.49564731	2.15E-86	1.64E-85
NR2F2	5.200416865	3.806761736	-1.393655129	1.82E-93	1.79E-92
FSTL1	6.309047751	5.201462918	-1.107584833	4.92E-56	1.62E-55
LTB4R	3.339531095	1.951231265	-1.38829983	3.07E-79	1.89E-78
SPRR1B	0.410173076	1.615505774	1.205332698	2.68E-10	3.56E-10
RP11-488L18.4	5.367180947	4.103817193	-1.263363754	2.50E-71	1.22E-70
RNA5-8S5	7.947985488	9.905301366	1.957315878	4.51E-59	1.60E-58
DKK3	6.925718169	4.912057931	-2.013660238	5.51E-111	1.36E-109
SERINC2	4.09850279	6.362210825	2.263708035	2.78E-120	1.43E-118
RP11-326C3.7	2.399380138	1.228828606	-1.170551532	2.84E-70	1.35E-69
FAM167A	2.631198264	1.631034715	-1.000163548	2.66E-41	6.43E-41
JAK2	3.157642945	2.02830918	-1.129333765	5.89E-102	8.44E-101
ATP13A4	4.683611939	3.030207834	-1.653404105	2.57E-50	7.48E-50
TRPV2	5.148883389	3.673065406	-1.475817983	1.23E-103	1.90E-102
CTC1	4.592219153	3.521085623	-1.07113353	1.75E-73	9.02E-73
MUC21	1.024935691	3.374875489	2.349939798	2.11E-48	5.93E-48
COL3A1	6.608323182	7.962619124	1.354295941	6.46E-36	1.41E-35
CXCL17	5.88114938	7.425399248	1.544249868	5.82E-31	1.16E-30
TTN-AS1	3.648280833	2.394579452	-1.253701381	2.17E-88	1.79E-87
DLEC1	2.06608063	0.841320354	-1.224760276	9.23E-58	3.16E-57
PSMD14	4.103478032	5.287115942	1.18363791	9.82E-103	1.46E-101
ZWINT	1.757197602	4.196614436	2.439416834	2.03E-118	8.79E-117
CANT1	3.921820217	5.298041909	1.376221693	3.53E-119	1.65E-117
AASS	3.803917625	2.128792442	-1.675125183	3.02E-88	2.47E-87
ITIH3	2.474571646	0.781044126	-1.69352752	3.73E-116	1.34E-114
FAM193B	6.065418939	4.298718137	-1.766700802	1.93E-80	1.24E-79
CEACAM6	6.781648492	8.43114214	1.649493647	5.48E-49	1.56E-48
ISG15	5.294741797	6.723021265	1.428279469	8.74E-54	2.75E-53
RORA	2.900388962	1.622316391	-1.278072571	4.71E-94	4.71E-93
EXO1	0.470312046	1.971320202	1.501008157	2.86E-109	6.29E-108
GUSBP9	2.28322018	1.170388848	-1.112831332	4.61E-65	1.91E-64
MAPK12	3.53145237	2.513678339	-1.017774031	3.14E-50	9.15E-50
THEMIS2	5.492450688	4.411097058	-1.081353629	2.85E-75	1.56E-74
HOXA-AS2	3.217707464	1.898869867	-1.318837597	5.83E-70	2.73E-69
SLC1A1	3.223116119	2.17538964	-1.047726478	7.55E-41	1.81E-40
ECSCR	5.433698438	3.246638118	-2.18706032	6.96E-129	1.62E-126
PGM5	3.446557527	1.75119984	-1.695357687	5.36E-97	6.09E-96
HLA-F-AS1	2.367317539	1.303925596	-1.063391942	2.01E-77	1.17E-76
AP1S1	4.181556091	5.706144348	1.524588257	5.16E-123	3.69E-121
LINC00937	1.989903611	0.702592578	-1.287311032	2.11E-74	1.12E-73
TM7SF2	3.524867502	4.56192137	1.037053868	4.36E-46	1.17E-45
EFNA3	0.833815015	2.554082668	1.720267653	1.05E-129	3.21E-127
CLCN6	3.566929506	2.247777165	-1.319152341	7.33E-104	1.15E-102
RP11-334E6.12	2.580333293	3.869349317	1.289016025	8.17E-40	1.92E-39
IGKV1-6	2.914714617	4.799195013	1.884480396	4.59E-39	1.06E-38
IGKV1-27	3.487640728	5.623359779	2.135719051	5.05E-44	1.29E-43
QPRT	3.138479846	4.139956927	1.00147708	1.38E-23	2.39E-23
CA1	1.389485308	0.220999396	-1.168485912	2.74E-101	3.78E-100
NLRP3	2.315822559	1.30129909	-1.014523469	1.85E-62	7.18E-62
PXK	3.901269898	2.885287607	-1.015982291	1.87E-104	3.04E-103
PAPSS2	5.738499932	4.084185224	-1.654314707	2.15E-105	3.69E-104
FGF11	0.846197978	2.161056204	1.314858226	1.54E-75	8.50E-75
C19orf66	5.100662959	4.060332524	-1.040330435	8.21E-75	4.42E-74
APOA1	1.394646897	0.336038191	-1.058608706	1.90E-107	3.66E-106
KRT8	7.137338711	9.254191154	2.116852443	5.78E-110	1.34E-108
SHANK3	4.632933778	1.881177836	-2.751755942	1.61E-123	1.26E-121
CTD-2270P14.1	2.892827451	1.691108685	-1.201718765	4.48E-77	2.60E-76
ZNF106	3.919255952	2.893642175	-1.025613777	7.17E-88	5.80E-87
ETV4	1.441615727	4.252130909	2.810515182	2.27E-122	1.47E-120
PRELP	6.061782862	3.385173406	-2.676609455	1.67E-111	4.27E-110
CD34	5.290689433	3.861744524	-1.42894491	5.89E-83	4.05E-82
DNTTIP1	4.328708096	5.559204551	1.230496455	2.73E-88	2.24E-87
RP11-386G11.10	4.610608295	6.154441437	1.543833142	2.79E-47	7.63E-47
TFF1	0.215031942	2.420377663	2.205345721	5.79E-60	2.11E-59
PABPC1	8.791307561	9.962249981	1.170942419	3.50E-107	6.63E-106
KLF6	6.511299987	5.000932951	-1.510367037	2.37E-102	3.43E-101
KCNN4	2.700321113	4.470353694	1.770032581	1.85E-56	6.14E-56
RPL35P5	1.748000107	2.939618049	1.191617942	4.46E-74	2.34E-73
COLEC12	4.027307607	2.658278293	-1.369029314	7.30E-71	3.50E-70
P3H2	3.910776564	2.746402642	-1.164373921	4.15E-33	8.59E-33
ARGLU1	7.2633971	5.091753039	-2.17164406	8.37E-101	1.13E-99
RORC	2.486911359	3.974517998	1.487606639	1.61E-65	6.74E-65
RP3-340N1.2	0.119320985	2.118369361	1.999048376	6.08E-95	6.30E-94
RHOXF1-AS1	2.317416839	1.015437399	-1.30197944	4.85E-62	1.86E-61
STON1	3.230694025	1.484269806	-1.746424219	8.46E-121	4.57E-119
H2AFX	3.657304485	4.742437611	1.085133125	5.48E-78	3.25E-77
HDHD3	3.37395052	4.387567514	1.013616994	3.03E-88	2.48E-87
GRASP	6.221569345	2.476056828	-3.745512518	2.86E-131	1.54E-128
STX12	5.452467091	4.431385786	-1.021081305	5.91E-117	2.25E-115
EXOSC4	3.754147712	4.871353505	1.117205793	1.76E-87	1.40E-86
JUNB	7.791824432	6.407172209	-1.384652223	2.31E-66	9.90E-66
AC005154.6	5.38311678	3.966151745	-1.416965035	2.67E-74	1.41E-73
CXorf36	3.334952153	1.893401309	-1.441550844	3.03E-100	3.99E-99
EHF	2.595759754	4.242065501	1.646305747	8.78E-67	3.81E-66
DNAJC19P5	1.675212686	0.577575258	-1.097637428	1.64E-70	7.78E-70
CEACAM3	1.772074523	0.538245605	-1.233828918	5.80E-96	6.28E-95
RP11-641D5.1	6.460625673	7.926358616	1.465732944	9.04E-106	1.57E-104
SEMA6A	3.728912667	1.229834462	-2.499078205	9.56E-127	1.42E-124
DNAJC18	3.157890728	2.141309922	-1.016580806	2.73E-73	1.40E-72
PPP1R12C	6.506119164	4.879782263	-1.626336901	5.19E-107	9.71E-106
SNRNP25	3.676901137	4.86982075	1.192919612	8.22E-110	1.88E-108
IGKV2D-30	0.555288271	1.817390806	1.262102535	8.59E-45	2.24E-44
CSGALNACT2	4.221122782	3.214692061	-1.006430721	1.50E-96	1.67E-95
BEST1	2.994896068	1.378751997	-1.616144071	4.66E-118	1.96E-116
PITX2	0.038641371	1.42075836	1.382116989	6.59E-98	7.75E-97
PROM2	1.573830894	4.212979159	2.639148264	1.47E-118	6.47E-117
ASPH	5.346251777	6.541583316	1.195331539	5.12E-55	1.66E-54
TDRKH	1.966229166	3.553439389	1.587210223	4.06E-119	1.87E-117
AC010168.1	4.356662158	2.49594987	-1.860712289	1.37E-34	2.92E-34
S100A14	5.536807484	6.944884399	1.408076915	1.89E-49	5.42E-49
HSPA7	3.382472243	2.282950267	-1.099521977	8.59E-33	1.77E-32
RP11-802O23.3	1.746681154	0.719495936	-1.027185219	2.40E-107	4.58E-106
OVOL2	1.926580368	3.101958753	1.175378385	1.69E-87	1.34E-86
OAS3	2.982142572	4.082320655	1.100178082	6.27E-57	2.10E-56
HLTF	2.26745841	3.275654328	1.008195918	1.84E-83	1.29E-82
